Question,Answer,Response Time (s),Correctness,Relevance,Fluency,Helpfulness,Avg Score
Does VIT-AP allow course registration directly through VTOP or is it done through a unique mail link each semester?,"VIT-AP allows students to register courses through the VTOp portal. However, some additional steps might be required, like verifying eligibility for certain courses. I recommend checking the official VIT-AP website for more information. 📚💻",32.28,8,9,8,7,8.0
Does every branch in VIT-AP follow FFCS or only selected schools?,Not sure about the specific branches following FFCS (Flexible Five-Credit System). It might vary across different schools. I suggest checking the official VIT-AP website for more information on their curriculum policies. 📚🤔,6.01,7,8,6,7,7.0
"Is there a fixed maximum credit limit for all students, or does it change every semester by email?","At VIT-AP, the maximum credit limit varies from student to student and is not fixed. Each semester's course schedule will be shared via an email, informing students about their allowed credits. Please check your VTOp portal for more details on this. 📊📨",6.53,8,9,7,8,8.0
"Do allowed and not-allowed exam items remain constant every semester, or does VIT-AP send fresh instructions before each CAT/FAT?","At VIT-AP, the exam items are subject to change every semester. Fresh instructions about allowed and not-allowed items will be sent via email before each CAT (Compulsory Aptitude Test) and FAT (Fundamental Aptitude Test). Please check your VTOp portal for more information on this. 📝📨",8.48,10,9,8,9,9.0
Does VIT-AP provide CGPA-based attendance relaxation for CGPA > 9.0?,"At VIT-AP, students with a CGPA above 9.0 may be eligible for attendance relaxation based on their CGPA. However, I'm not sure about the specific criteria or process for this. It's best to check the official VIT-AP website or consult with the college administration for more information. 📊🤔",6.67,9,10,8,9,9.0
"Is ReFAT a fixed policy every semester, or does it vary and require checking email/mentor?","At VIT-AP, ReFAT (Revised Fundamental Aptitude Test) is a flexible policy that varies by student. To know the exact details, I recommend checking your VTOp portal or contacting your mentor for guidance. 📝📨",6.87,8,9,8,9,8.5
Can course registration be done from VTOP > Exam Schedule?,"No, course registration cannot be done directly from the Exam Schedule on VTOP. You need to go to the ""Course Registration"" section under the ""Academics"" tab. 📚💻",6.01,9,8,7,8,8.0
Are visitors and parents allowed inside hostels at VIT-AP?,"No, visitors are not allowed inside hostels at VIT-AP, except for special cases like parent's day or invited guests with prior permission from the hostel administration. Please contact the hostel management to confirm their visitation policy. 🚪👥",7.12,8,9,7,8,8.0
What color ID tag do day scholars use when entering campus?,Day scholars at VIT-AP use a blue ID tag when entering campus. 👋💙,5.29,8,9,8,7,8.0
Until what time are visitors allowed inside VIT-AP campus?,"Visitors are generally allowed inside the VIT-AP campus until 6 PM, but this may vary depending on the specific day and purpose of their visit. It's best to contact the campus administration or security for more information on their visitation policy. 🕰️🚪",6.18,9,9,8,8,8.5
Are evening buses available for all students or only registered day scholars?,"At VIT-AP, even buses are available for all students (including day scholars) and not just registered day scholars. Evening buses run on a specific schedule, which can be found in the VTOp portal. 🚌🕰️",5.85,10,9,8,9,9.0
Where is the Transport Office located on the campus?,The Transport Office at VIT-AP is located near the Main Entrance of the campus. You can find it by walking straight towards the main entrance from the parking area or college buildings. 🚌📍,5.35,8,9,8,9,8.5
Does VIT-AP use a permanent course registration link every semester?,"At VIT-AP, students typically receive an email with a unique mail link each semester to register courses through the VTOp portal. This link is usually valid for a limited time and can be used only during that specific period. The exact details of this process might vary from year to year. 📝📨",6.53,9,10,8,9,9.0
"Is add/drop always guaranteed, or only if announced via email?","At VIT-AP, add/drop is not always guaranteed and may be subject to certain conditions, including the availability of seats in courses and the specific semester schedule. In some cases, add/drop might require prior approval from the college administration or mentors. It's best to check your VTOp portal or consult with your mentor for more information on this process. 📝🤔",7.13,8,9,8,9,8.5
"Do exam rules follow a single standard list, or does it depend on the mail circular for that semester?","At VIT-AP, exam rules typically follow a single standard list that remains constant throughout the year. However, specific details about exam schedules, dates, and procedures may be communicated through email circulars or other official notifications sent by the college administration. Please check your VTOp portal or contact your mentor for more information on this. 📝📨",6.69,8,9,8,9,8.5
,,,,,,,
Does VIT-AP allow course registration directly through VTOP or is it done through a unique mail link each semester?,VIT-AP allows course registration through VTOP. You can access this system to register for courses during the designated registration period.,30.56,8,9,7,8,8.0
Does every branch in VIT-AP follow FFCS or only selected schools?,All branches of VIT-AP follow the Flexible Fee Credits System (FFCS). This system is implemented across all schools within VIT-AP.,20.86,8,9,7,8,8.0
"Is there a fixed maximum credit limit for all students, or does it change every semester by email?",The maximum credit limit may vary for each student and semester. It's recommended to check the official VIT-AP Academic Calendar or your individual student portal on VTOP for specific details regarding credit limits in your semester.,21.3,8,9,7,8,8.0
"Do allowed and not-allowed exam items remain constant every semester, or does VIT-AP send fresh instructions before each CAT/FAT?",VIT-AP typically sends fresh instructions for allowed and not-allowed exam items before each CAT (Centralized Assessment Test) and FAT (Final Assessment Test). It's advisable to check your official university email or the VIT-AP website for specific guidelines pertaining to exam items during each semester.,23.7,8,9,7,8,8.0
Does VIT-AP provide CGPA-based attendance relaxation for CGPA > 9.0?,I am not able to find the exact information about CGPA-based attendance relaxation for a CGPA greater than 9.0 in VIT-AP's official sources. It is recommended to check the university's Academic Regulations or contact the University's Registrar's Office for the most accurate and up-to-date information.,24.26,9,10,8,9,9.0
"Is ReFAT a fixed policy every semester, or does it vary and require checking email/mentor?","ReFAT (Retake Final Assessment Test) policy may vary each semester. It's advisable to check your official university email or the VIT-AP website for specific guidelines pertaining to ReFAT in each semester, or contact your mentor for clarification.",19.01,8,9,8,8,8.25
Can course registration be done from VTOP > Exam Schedule?,"No, course registration is not typically done through the ""Exam Schedule"" section of VTOP at VIT-AP. You should access the ""Registration"" or ""Course Registration"" section during the designated registration period to register for courses through VTOP.",22.64,8,9,7,8,8.0
Are visitors and parents allowed inside hostels at VIT-AP?,"Visitors and parents are typically not allowed to stay in the hostels at VIT-AP, but they may be allowed to visit during specific hours or under certain circumstances. It's best to check the university's official guidelines or contact the Hostel Administrative Office for the most accurate information regarding visitor policies for the hostels at VIT-AP.",22.2,8,9,7,8,8.0
What color ID tag do day scholars use when entering campus?,"Day scholars at VIT-AP typically use a white or light-colored ID tag to identify themselves when entering the campus. However, it's best to check the university's official guidelines or contact the University Administration for the most accurate information regarding day scholar ID tags at VIT-AP.",25.02,9,9,8,9,8.75
Until what time are visitors allowed inside VIT-AP campus?,"Visitor hours on the VIT-AP campus may vary, so it's best to check the university's official guidelines or contact the University Administration for the most accurate information regarding visitor hours at VIT-AP.",21.04,7,8,6,7,7.0
Are evening buses available for all students or only registered day scholars?,Evening buses may not be available for all students at VIT-AP; they are typically reserved for registered day scholars. It's recommended to check the university's official transportation guidelines or contact the Transportation Office for the most accurate information regarding evening bus availability and eligibility.,19.67,9,10,8,9,9.0
Where is the Transport Office located on the campus?,"The Transport Office at VIT-AP is typically located near the Main Administration Building or within the Student Services Complex. However, for the most accurate information regarding its exact location, it's best to check the university's official campus map or contact the University Administration.",22.59,8,9,7,8,8.0
Does VIT-AP use a permanent course registration link every semester?,"No, VIT-AP does not use a permanent course registration link every semester. You should access the ""Registration"" or ""Course Registration"" section through VTOP during the designated registration period to register for courses each semester.",23.07,8,9,7,8,8.0
"Is add/drop always guaranteed, or only if announced via email?","Add/drop may not be automatically guaranteed and may require specific conditions or approvals. It's advisable to check the university's Academic Regulations or contact the University's Registrar's Office for the most accurate information regarding add/drop policies, as well as whether such changes are announced via email at VIT-AP.",28.22,8,9,7,8,8.0
"Do exam rules follow a single standard list, or does it depend on the mail circular for that semester?",Exam rules may not always follow a single standard list and can vary depending on the specific semester. It's advisable to check the university's official website or your email for any exam-related circulars or guidelines for each semester at VIT-AP.,33.39,8,9,7,8,8.0
,,,,,,,
AVERAGES (LLaMA 3.2),,8.2,8.467,9.0,7.667,8.333,8.367
AVERAGES (Mistral),,23.84,8.133,9.067,7.2,8.133,8.133
